FECHA DE INGRESO,FECHA ULTIMO REGISTRO,Estatus,Días Laborados,FECHA DE NACIMIENTO,No de Crédito Infonavit,PUESTO,AREA,TURNO,MUNICIPIO,SALARIO MENSUAL,ESCOLARIDAD,GENERO,Tipo de renuncia
2022-09-19,2022-12-22,baja,94,2003-05-27 00:00:00,NO,INSP CALIDAD,CALIDAD,C,TALA,8100.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2023-10-02,2024-01-07,baja,97,1986-11-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,BUENA VISTA ,7500.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2023-09-11,2023-12-17,baja,97,1966-10-05 00:00:00,SI,OP PRENSA,PRENSA,B,TALA,7950.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2022-05-02,2022-08-07,baja,97,1993-08-14 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,PRIMARIA,FEMENINO,ABANDONO
2021-12-20,2022-03-28,baja,98,1999-06-25 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2022-02-28,2022-06-08,baja,100,1981-03-21 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2023-03-21,2023-06-29,baja,100,1974-10-12 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,8400.0,SECUNDARIA,FEMENINO,BAJA
2023-09-30,2024-01-08,baja,100,1991-01-23 06:10:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7705.711805555556,PRIMARIA,MASCULINO,ACTIVO
2023-01-23,2023-05-04,baja,101,1969-11-05 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,BAJA
2021-11-08,2022-02-20,baja,104,2001-10-25 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,EL ARENAL,6000.0,CURSANDO_LICENCIATURA,MASCULINO,VOLUNTARIA
2022-01-03,2022-04-19,baja,106,1996-04-28 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,MASCULINO,ABANDONO
2023-01-16,2023-05-04,baja,108,1992-07-01 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PREPARATORIA,MASCULINO,BAJA
2022-02-11,2022-06-05,baja,114,1990-04-29 00:00:00,SI,MONTACARGUISTA,ALMACEN,A,TALA,11250.0,PRIMARIA,MASCULINO,VOLUNTARIA
2022-01-24,2022-05-19,baja,115,1989-11-13 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,ABANDONO
2022-07-04,2022-10-30,baja,118,1977-10-12 00:00:00,NO,OP PRENSA,PRENSA,B,TALA,7500.0,PREPARATORIA,MASCULINO,VOLUNTARIA
2022-01-24,2022-05-22,baja,118,1998-01-29 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2023-07-22,2023-11-19,baja,120,1991-01-23 06:10:00,NO,OP PRENSA,PRENSA,C,TALA,7705.711805555556,PREPARATORIA_TRUNCA,MASCULINO,ABANDONO
2023-01-30,2023-06-01,baja,122,1973-04-21 00:00:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,SECUNDARIA,FEMENINO,BAJA
2023-01-30,2023-06-01,baja,122,1977-03-03 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,PRIMARIA,FEMENINO,BAJA
2022-05-09,2022-09-11,baja,125,1972-11-21 00:00:00,SI,MONTACARGUISTA,ALMACEN,B,TALA,11250.0,PREPARATORIA,MASCULINO,VOLUNTARIA
2021-12-13,2022-04-17,baja,125,1993-03-13 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2021-12-20,2022-04-25,baja,126,2000-05-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-09-26,2023-02-03,baja,130,1997-09-21 00:00:00,SI,OP PRENSA,PRENSA,A,TALA,6600.0,PRIMARIA,MASCULINO,ABANDONO
2022-01-31,2022-06-12,baja,132,2001-11-21 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2022-09-26,2023-02-05,baja,132,1979-08-23 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PRIMARIA,FEMENINO,VOLUNTARIA
2023-01-30,2023-06-16,baja,137,1996-05-02 00:00:00,SI,MONTACARGUISTA,ALMACEN,C,TALA,11250.0,SECUNDARIA,MASCULINO,ABANDONO
2022-01-17,2022-06-05,baja,139,1999-02-01 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,ZAPOPAN,6000.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-06-27,2022-11-16,baja,142,2002-12-05 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PREPARATORIA_TECNICA,MASCULINO,VOLUNTARIA
2023-03-06,2023-07-28,baja,144,1991-05-08 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2023-03-06,2023-07-28,baja,144,1995-01-01 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,7500.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2021-11-10,2022-04-03,baja,144,1991-01-23 06:10:00,SI,MONTACARGUISTA,ALMACEN,A,TALA,7705.711805555556,PREPARATORIA_TRUNCA,FEMENINO,BAJA
